KMT-2016-BLG-1107 b,Confirmed,3.28,1.835,3.488,,,,,,,,,,0.342,0.085,0.07,,,,,,,,2018,24/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,KMT-2016-BLG-1107,266.4166667,-26.03166668,,,,,,6651,1348,948,,,,0.087,0.049,0.092,,,,,,,,,,,,,
KMT-2016-BLG-1820 b,Confirmed,4.57,2.14,5.03,,,,,,,,,,1.08,0.24,0.24,,,,,,,,2018,29/06/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,KMT-2016-BLG-1820,268.7666667,-29.51694446,,,,,,6260,1280,1140,,,,0.039,0.018,0.043,,,,,,,,,,,,,
KMT-2016-BLG-2142 b,Confirmed,15.49,8.58,24.99,,,,,,,,,,0.83,0.2,0.15,,,,,,,,2018,29/06/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,KMT-2016-BLG-2142,268.1125,-29.38444445,,,,,,7010,1160,1010,,,,0.073,0.04,0.117,,,,,,,,,,,,,
MOA-2007-BLG-192L b,Confirmed,0.01,0.005,0.015,,,,,,,,,,0.66,0.14,0.14,,,,,,,0.000943,2008,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2007-BLG-192L,272.0166667,-27.15,,19.81,19.6,,,700,120,120,,,,0.06,0.012,0.012,,,,M,,,,,,,,,
MOA-2007-BLG-197L b,Confirmed,41,2,2,,,,,,,,,,4.29,0.1,0.1,,,,,,,,2015,19/08/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2007-BLG-197L,271.7708333,-31.94638892,,,,,,4170,300,300,,,,0.82,0.04,0.04,,,,,,,,,,,,,
MOA-2007-BLG-400L b,Confirmed,0.9,0.4,0.4,,,,,,,,,,0.85,0.25,0.25,,,,,,,0.000142,2008,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-2007-BLG-400L,272.425,-29.2241667,,,,,,6000,,,,,,0.35,0.15,0.15,,,,,,,,,,,,,
MOA-2008-BLG-310L b,Confirmed,0.23,0.05,0.05,,,,,,,,,,1.25,0.1,0.1,,,,,,,0.000208,2009,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-2008-BLG-310L,268.5583333,-34.7780556,,,,23.38,,6000,nan,inf,,,,0.67,0.14,0.14,,,,,,,,,,,,,
MOA-2008-BLG-379L b,Confirmed,4.1,1.9,1.7,,,,,,,,,,3.3,1.2,1.7,,,,,,,,2013,23/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2008-BLG-379L,269.7041667,-29.80305554,,,,,,3600,1300,1300,,,,0.66,0.3,0.3,,,,,,,,,,,,,
MOA-2009-BLG-266L b,Confirmed,0.0327,0.005,0.005,,,,,,,2780,500,500,3.2,0.5,0.5,,,,,,,0.001053,2010,14/06/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2009-BLG-266L,267.025,-35.0052778,,,,,,3040,330,330,,,,0.56,0.09,0.09,,,,,,,,,,,,,
MOA-2009-BLG-319 b,Confirmed,0.157,0.075,0.138,,,,,,,,,,2,0.4,0.4,,,,,,,0.000328,2010,12/10/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-2009-BLG-319,271.7416667,-26.8197222,,,,,,6100,1.2,1.2,,,,0.38,0.18,0.18,,,,K,,,,,,,,,
MOA-2009-BLG-387L b,Confirmed,2.6,1.6,4.1,,,,,,,1970,1.6,1.6,1.8,0.7,0.7,,,,,,,0.000316,2011,26/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2009-BLG-387L,268.4625,-33.9902778,,,,,,5700,2200,2200,,,,0.19,0.12,0.12,,,,M,,,,,,,,,
MOA-2010-BLG-117 b,Confirmed,0.51,0.07,0.07,,,,,,,,,,2.9,0.5,1.6,,,,,,,,2017,05/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2010-BLG-117,271.9569584,-25.3446389,21.7,,,,,3400,200,200,,,,0.58,0.1,0.1,,,,,,,,,,,,,
MOA-2010-BLG-328L b,Confirmed,0.029,0.007,0.007,,,,,,,,,,0.92,0.16,0.16,,,,,,,,2013,02/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2010-BLG-328L,269.4958,-30.7153,,,,,,810,100,100,,,,0.11,0.01,0.01,,,,M,,,,,,,,,
