1SWASP J1407 b,Confirmed,20,6,6,20,6,6,,,,3725,900,900,3.9,1.7,1.7,,,,,,,,2012,29/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.95,-39.76194447,12.4,,,,,133,12,12,,,,0.9,,,0.99,0.11,0.11,,0.016,,,4400,100,100,,,
38 Vir b,Confirmed,4.51,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,20/02/2017,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.2964895,-3.553099291,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557,96,96,,,"HD 111998, HIP 62875"
55 Cnc e,Confirmed,0.02547,0.00081,0.00089,0.02547,0.00081,0.00082,0.177536225,0.007137135,0.007137135,0.7365478,1.20E-06,1.60E-06,0.015439,1.50E-05,1.50E-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,11/06/2017,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,"HCN, H2O",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
BD+20 594 b,Confirmed,0.0513,0.019,0.019,0.0513,0.019,0.019,0.199,0.0098,0.012,41.6855,0.0031,0.0031,0.241,0.019,0.019,0,,,89.55,0.14,0.17,,2016,23/02/2016,,,,,,,,,,2457151.902,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,BD+20 594,53.65000001,20.59916669,11,,,,,152.1,7.4,9.7,-0.15,0.05,0.05,0.961,0.029,0.032,0.928,0.04,0.055,K0 ,3.34,1.49,1.95,5766,99,99,,,2MASS 03343623+2035574
CVSO 30 b ,Confirmed,6.2,1.7,1.9,5.5,1.4,1.4,1.91,0.21,0.21,0.448413,4.00E-05,4.00E-05,0.00838,0.00072,0.00072,,,,61.8,3.7,3.7,2.50E-05,2012,12/06/2016,,,,,,,,,,2455543.94,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PTFO 8-8695 b,,CVSO 30,81.2833333,1.5733333,16.26,,,,,330,0,0,,,,0.39,0.05,0.05,1.39,,,M3 PMS,0.00265,3.00E-05,3.00E-05,3740,,,,,PTFO 8-8695
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,6.40E-06,6.40E-06,0.0254,0.0004,0.0004,0,,,85.1,0.5,0.5,5.50E-05,2007,24/01/2014,,,,,,,,,,2454159.453,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460,100,100,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298,66,66,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,29/08/2014,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.344,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345,50,50,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3,inf,nan,5075,75,75,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.10E-05,2.10E-05,0.04351,0.00036,0.00036,0,,,81.41,0.17,0.17,7.80E-05,2010,17/08/2014,,,,,,,,,,2454597.68,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560,30,30,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2,1,1,6343,72,72,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.30E-05,1.30E-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.50E-05,2010,16/08/2014,105,27,27,,,,,,,2454398.627,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150,85,85,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675,80,80,,,
CoRoT-13 b,Confirmed,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.03519,3.00E-05,3.00E-05,0.051,0.0031,0.0031,0,,,88.02,0.036,0.036,3.90E-05,2010,16/08/2014,,,,,,,,,,2454790.809,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310,100,100,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945,90,90,,,
